OccurrencePrecinctCode,CollisionID,CollisionKey,Collision_ at_Intersection,IntersectionAddress,IntersectingStreet,CrossStreet,CollisionVehicleCount,CollisionInjuredCount,CollisionKilledCount,Vehicles_or_MotoristsInvolved,PersonsInjured,PersonsKilled,MotoristsInjured,MotoristsKilled,PassengInjured,PassengKilled,CyclistsInjured,CyclistsKilled,PedestrInjured,PedestrKilled,Injury_or_Fatal,Bicycle
040,2022040000948,248161899,1,3 AVE&&E 135 ST,3 AVE,E 135 ST,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
040,2022040000906,247602208,1,3 AVE&&E 138 ST,E 138 ST,3 AVE,2,3,0,2,3,0,0,0,3,0,0,0,0,0,1,0
040,2022040000963,248898089,1,3 AVE&&E 144 ST,3 AVE,E 144 ST,2,1,0,2,1,0,0,0,1,0,0,0,0,0,1,0
040,2022040000954,248229980,1,3 AVE&&E 149 ST,3 AVE,E 149 ST,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
040,2022040000967,248626057,2,3 AVE&&E 149 ST,3 AVE,E 149 ST,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0
040,2022040000964,248849027,3,3 AVE&&E 149 ST,3 AVE,E 149 ST,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0
040,2022040000913,247740415,1,3 AVE&&E 151 ST,3 AVE,E 151 ST,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
040,2022040000892,247526956,1,3 AVE&&E 154 ST,3 AVE,E 154 ST,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
040,2022040000924,247838951,1,3 AVE&&E 155 ST,3 AVE,E 155 ST,2,1,0,2,1,0,0,0,1,0,0,0,0,0,1,0
040,2022040000893,247526957,1,ALEXANDER AVE&&E 139 ST,ALEXANDER AVE,E 139 ST,2,3,0,2,3,0,2,0,1,0,0,0,0,0,1,0
040,2022040000901,247602206,1,BEEKMAN AVE&&E 141 ST,E 141 ST,BEEKMAN AVE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
