OccurrencePrecinctCode,CollisionID,CollisionKey,RoadwayTypeCode,RoadwayReferenceMarker,Collision_ at_Location,RoadwayName,RoadwayDirection,RoadwayLocationDescription,CollisionVehicleCount,CollisionInjuredCount,CollisionKilledCount,Vehicles_or_MotoristsInvolved,PersonsInjured,PersonsKilled,MotoristsInjured,MotoristsKilled,PassengInjured,PassengKilled,CyclistsInjured,CyclistsKilled,PedestrInjured,PedestrKilled,Injury_or_Fatal,Bicycle
060,2022060000625,248207861,H,907CX2M13066,1,BELT PKY,EB@,CROPSEY AV,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
060,2022060000643,248605564,H,907CX2M13066,2,BELT PKY,EB@,CROPSEY AV,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
060,2022060000678,248838238,H,907CX2M13066,3,BELT PKY,EB@,CROPSEY AV,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
060,2022060000679,248880388,H,907CX2M13079,1,BELT PKY,EB@,GUIDER AV,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0
060,2022060000612,248298076,H,907CX2M13072,1,BELT PKY,EB@,SHELL RD,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
060,2022060000638,248322537,H,907CX2M14077,1,BELT PKY,WB@,BR OVER OCEAN PKY,2,1,0,2,1,0,0,0,1,0,0,0,0,0,1,0
060,2022060000558,247602215,H,907CX2M14068,1,BELT PKY,WB@,BR OVER STILLWELL AV,2,2,0,2,2,0,1,0,1,0,0,0,0,0,1,0
060,2022060000604,248158266,H,907CX2M14068,2,BELT PKY,WB@,BR OVER STILLWELL AV,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
060,2022060000578,247726513,H,907CX2M14066,1,BELT PKY,WB@,CROPSEY AV BR,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
060,2022060000594,247967343,H,907CX2M14066,2,BELT PKY,WB@,CROPSEY AV BR,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
060,2022060000570,247685720,H,907CX2M14079,1,BELT PKY,WB@,GUIDER AV BR FR CIAV,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
060,2022060000636,248509550,H,907CX2M14079,2,BELT PKY,WB@,GUIDER AV BR FR CIAV,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
060,2022060000663,248639051,H,907CX2M14072,1,BELT PKY,WB@,SHELL RD,2,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0
061,2022061000861,248610260,H,907CX2M13101,1,BELT PKY,EB@,.1 E/O PLUMB BCH P/A,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
061,2022061000783,247668607,H,907CX2M13089,1,BELT PKY,EB@,BEDFORD AV,3,1,0,3,1,0,1,0,0,0,0,0,0,0,1,0
061,2022061000881,248785119,H,907CX2M13097,1,BELT PKY,EB@,E/O KNAPP ST BR,2,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0
061,2022061000882,248808015,H,907CX2M14102,1,BELT PKY,WB@,.1 W/O GERRITSEN AV,2,2,0,2,2,0,1,0,1,0,0,0,0,0,1,0
061,2022061000855,248565187,H,907CX2M14083,1,BELT PKY,WB@,E 14 ST,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
061,2022061000874,248768679,H,907CX2M14094,1,BELT PKY,WB@,KNAPP ST EN,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0
062,2022062000844,248314959,H,907CX2MR04D1,1,BELT PKY,WB@,ENR BAY 8 ST,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
062,2022062000869,248486760,H,907CX2MR05D1,1,BELT PKY,WB@,ENR BAY PKY,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
062,2022062000887,248768681,H,907CX2M13047,1,BELT PKY,EB@,17 AV PED BR,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
062,2022062000861,248768680,H,907CX2M13059,1,BELT PKY,EB@,25 AV,4,4,0,4,4,0,3,0,1,0,0,0,0,0,1,0
062,2022062000831,248108139,H,907CX2M13054,1,BELT PKY,EB@,BAY 28 ST,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
062,2022062000770,247742316,H,907CX2M13057,1,BELT PKY,EB@,BAY 35 ST,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
062,2022062000788,247685722,H,907CX2M13055,1,BELT PKY,EB@,BAY PKY,2,2,0,2,2,0,1,0,1,0,0,0,0,0,1,0
062,2022062000798,247830528,H,907CX2M13055,2,BELT PKY,EB@,BAY PKY,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
062,2022062000840,248205161,H,907CX2M14044,1,BELT PKY,WB@,15 AV,2,5,0,2,5,0,1,0,4,0,0,0,0,0,1,0
062,2022062000810,247830533,H,907CX2M14053,1,BELT PKY,WB@,21 AV,2,2,0,2,2,0,1,0,1,0,0,0,0,0,1,0
062,2022062000898,248844868,H,907CX2M14059,1,BELT PKY,WB@,25 AV,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
062,2022062000827,248106786,H,907CX2M14046,1,BELT PKY,WB@,BAY 13 ST,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
062,2022062000806,247852943,H,907CX2M14057,1,BELT PKY,WB@,BAY 35 ST,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
062,2022062000884,249406260,H,907CX2M14055,1,BELT PKY,WB@,BR OVER BAY PKY,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
062,2022062000848,248298077,H,907CX2M14042,1,BELT PKY,WB@,FT HAMILTON BASE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
063,2022063000718,247726514,H,907CX2M13116,1,BELT PKY,EB@,.1 E/O FLATBUSH BR,2,2,0,2,2,0,1,0,1,0,0,0,0,0,1,0
063,2022063000751,248298078,H,907CX2M13116,2,BELT PKY,EB@,.1 E/O FLATBUSH BR,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
063,2022063000703,247685725,H,907CX2M13131,1,BELT PKY,EB@,BERGEN AV,2,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0
063,2022063000701,247685724,H,907CX2M13113,1,BELT PKY,EB@,FLATBUSH AV S EN,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
063,2022063000697,247542903,H,907CX2M13110,1,BELT PKY,EB@,FLATBUSH AV S EX,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
063,2022063000796,248768683,H,907CX2M13110,2,BELT PKY,EB@,FLATBUSH AV S EX,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
063,2022063000783,248616693,H,907CX2M14111,1,BELT PKY,WB@,6000 SHORE PKY,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
063,2022063000795,248768682,H,907CX2M14105,1,BELT PKY,WB@,PLUMB BEACH BR,2,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0
068,2022068000847,248451016,H,907CX2MR02B1,1,BELT PKY,EB@,ENR 4 AV,2,2,0,2,2,0,1,0,1,0,0,0,0,0,1,0
068,2022068000797,247908289,H,907CX2M13002,1,BELT PKY,EB@,3 AV/65 ST EN,2,2,0,2,2,0,1,0,1,0,0,0,0,0,1,0
068,2022068000760,247424429,H,907CX2M13040,1,BELT PKY,EB@,BAY 8 ST P/A,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
068,2022068000904,248864620,H,907CX2M13040,2,BELT PKY,EB@,BAY 8 ST P/A,3,2,0,3,2,0,0,0,2,0,0,0,0,0,1,0
068,2022068000823,248130827,H,907CX2M13015,1,BELT PKY,EB@,BAY RIDGE PKY,2,2,0,2,2,0,1,0,1,0,0,0,0,0,1,0
068,2022068000840,248485910,H,907CX2M14021,1,BELT PKY,WB@,86 ST,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
068,2022068000779,247653521,H,907CX2M14035,1,BELT PKY,WB@,VZ BR EN(EX #3),2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
068,2022068000878,248669692,H,907CX2M14035,2,BELT PKY,WB@,VZ BR EN(EX #3),2,1,0,2,1,0,0,0,1,0,0,0,0,0,1,0
068,2022068000887,248770502,H,907CX2M14035,3,BELT PKY,WB@,VZ BR EN(EX #3),3,2,0,3,2,0,2,0,0,0,0,0,0,0,1,0
068,2022068000773,247564632,H,278IX2MR02B1,1,GOWANUS EXP,EB@,ENR 92 ST,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0
068,2022068000876,248669691,H,278IX2M24015,1,GOWANUS EXP,WB@,88 ST,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
068,2022068000776,247587646,H,278IX2M24024,1,GOWANUS EXP,WB@,OVINGTON AV BR,3,2,0,3,2,0,1,0,1,0,0,0,0,0,1,0
068,2022068000778,247653221,B,VZB 03003002,1,VZ BR LOWER,EB@,BKLYN SIDE,2,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0
068,2022068000872,248565191,B,VZB 03003002,2,VZ BR LOWER,EB@,BKLYN SIDE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
068,2022068000862,248589846,B,VZB 03003002,3,VZ BR LOWER,EB@,BKLYN SIDE,4,1,0,4,1,0,1,0,0,0,0,0,0,0,1,0
068,2022068000898,248804639,B,VZB 03003002,4,VZ BR LOWER,EB@,BKLYN SIDE,2,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0
068,2022068000902,248820526,B,VZB 03003002,5,VZ BR LOWER,EB@,BKLYN SIDE,3,2,0,3,2,0,0,0,2,0,0,0,0,0,1,0
068,2022068000761,247454193,B,VZB 02003002,1,VZ BR UPPER,EB@,BKLYN SIDE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
068,2022068000781,247665418,B,VZB 02003002,2,VZ BR UPPER,EB@,BKLYN SIDE,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
068,2022068000782,247669968,B,VZB 02003002,3,VZ BR UPPER,EB@,BKLYN SIDE,4,1,0,4,1,0,1,0,0,0,0,0,0,0,1,0
068,2022068000815,248060000,B,VZB 02003002,4,VZ BR UPPER,EB@,BKLYN SIDE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
068,2022068000825,248150415,B,VZB 02003002,5,VZ BR UPPER,EB@,BKLYN SIDE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
068,2022068000814,248280135,B,VZB 02003002,6,VZ BR UPPER,EB@,BKLYN SIDE,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0
068,2022068000837,248321973,B,VZB 02003002,7,VZ BR UPPER,EB@,BKLYN SIDE,2,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0
068,2022068000838,248322947,B,VZB 02003002,8,VZ BR UPPER,EB@,BKLYN SIDE,3,1,0,3,1,0,1,0,0,0,0,0,0,0,1,0
068,2022068000842,248422984,B,VZB 02003002,9,VZ BR UPPER,EB@,BKLYN SIDE,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0
068,2022068000865,248533332,B,VZB 02003002,10,VZ BR UPPER,EB@,BKLYN SIDE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
068,2022068000861,248561786,B,VZB 02003002,11,VZ BR UPPER,EB@,BKLYN SIDE,3,3,0,3,3,0,1,0,2,0,0,0,0,0,1,0
068,2022068000866,248561787,B,VZB 02003002,12,VZ BR UPPER,EB@,BKLYN SIDE,2,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0
068,2022068000867,248561788,B,VZB 02003002,13,VZ BR UPPER,EB@,BKLYN SIDE,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
068,2022068000868,248561789,B,VZB 02003002,14,VZ BR UPPER,EB@,BKLYN SIDE,2,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0
068,2022068000869,248561790,B,VZB 02003002,15,VZ BR UPPER,EB@,BKLYN SIDE,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
068,2022068000863,248565190,B,VZB 02003002,16,VZ BR UPPER,EB@,BKLYN SIDE,2,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0
068,2022068000864,248685460,B,VZB 02003002,17,VZ BR UPPER,EB@,BKLYN SIDE,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
068,2022068000883,248748022,B,VZB 02003002,18,VZ BR UPPER,EB@,BKLYN SIDE,2,1,0,2,1,0,0,0,1,0,0,0,0,0,1,0
068,2022068000884,248748023,B,VZB 02003002,19,VZ BR UPPER,EB@,BKLYN SIDE,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0
068,2022068000890,248770504,B,VZB 02003002,20,VZ BR UPPER,EB@,BKLYN SIDE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
068,2022068000892,248770506,B,VZB 02003002,21,VZ BR UPPER,EB@,BKLYN SIDE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
068,2022068000894,248770508,B,VZB 02003002,22,VZ BR UPPER,EB@,BKLYN SIDE,5,4,0,5,4,0,2,0,2,0,0,0,0,0,1,0
068,2022068000895,248770509,B,VZB 02003002,23,VZ BR UPPER,EB@,BKLYN SIDE,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
068,2022068000896,248770510,B,VZB 02003002,24,VZ BR UPPER,EB@,BKLYN SIDE,3,2,0,3,2,0,2,0,0,0,0,0,0,0,1,0
068,2022068000888,248790156,B,VZB 02003002,25,VZ BR UPPER,EB@,BKLYN SIDE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
068,2022068000900,248820525,B,VZB 02003002,26,VZ BR UPPER,EB@,BKLYN SIDE,3,3,0,3,3,0,1,0,2,0,0,0,0,0,1,0
068,2022068000903,248820527,B,VZB 02003002,27,VZ BR UPPER,EB@,BKLYN SIDE,2,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0
068,2022068000906,248918899,B,VZB 02003002,28,VZ BR UPPER,EB@,BKLYN SIDE,2,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0
068,2022068000925,249005408,B,VZB 02003002,29,VZ BR UPPER,EB@,BKLYN SIDE,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
068,2022068000922,249032718,B,VZB 02003002,30,VZ BR UPPER,EB@,BKLYN SIDE,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
068,2022068000949,249350702,B,VZB 02003002,31,VZ BR UPPER,EB@,BKLYN SIDE,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
068,2022068000787,247751867,B,VZB 02004002,1,VZ BR UPPER,WB@,BKLYN SIDE,2,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0
069,2022069000675,248075759,H,907CX2M13142,1,BELT PKY,EB@,BR OVER ROCKAWAY PKY,2,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0
069,2022069000693,248428812,H,907CX2M13145,1,BELT PKY,EB@,E 101 ST,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
069,2022069000684,248157833,H,907CX2M13146,1,BELT PKY,EB@,E 102 ST,3,2,0,3,2,0,2,0,0,0,0,0,0,0,1,0
