OccurrencePrecinctCode,CollisionID,CollisionKey,Collision_ at_Intersection,IntersectionAddress,IntersectingStreet,CrossStreet,CollisionVehicleCount,CollisionInjuredCount,CollisionKilledCount,Vehicles_or_MotoristsInvolved,PersonsInjured,PersonsKilled,MotoristsInjured,MotoristsKilled,PassengInjured,PassengKilled,CyclistsInjured,CyclistsKilled,PedestrInjured,PedestrKilled,Injury_or_Fatal,Bicycle
060,2022060000590,247967340,1,26 AVE&&BENSON AVE,BENSON AVE,26 AVE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
060,2022060000654,249169468,2,26 AVE&&BENSON AVE,BENSON AVE,26 AVE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
060,2022060000572,247838597,1,86 ST&&AVENUE V,AVENUE V,86 ST,2,1,0,2,1,0,0,0,1,0,0,0,0,0,1,0
060,2022060000580,248838220,1,86 ST&&W 11 ST,86 ST,W 11 ST,2,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0
060,2022060000567,247628287,1,86 ST&&W 8 ST,W 8 ST,86 ST,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
060,2022060000579,247838958,1,AVENUE V&&STILLWELL AVE,AVENUE V,STILLWELL AVE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
060,2022060000555,247564631,1,AVENUE W&&W 11 ST,W 11 ST,AVENUE W,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
060,2022060000583,247838960,2,AVENUE W&&W 11 ST,W 11 ST,AVENUE W,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
060,2022060000651,248470379,1,AVENUE X&&BOYNTON PL,AVENUE X,BOYNTON PL,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
060,2022060000599,248031986,1,AVENUE Z&&E 6 ST,AVENUE Z,E 6 ST,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0
060,2022060000623,248207860,2,AVENUE Z&&E 6 ST,E 6 ST,AVENUE Z,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
060,2022060000569,247628289,1,AVENUE Z&&STILLWELL AVE,STILLWELL AVE,AVENUE Z,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
060,2022060000642,248470374,1,BAY 46 ST&&STILLWELL AVE,BAY 46 ST,STILLWELL AVE,2,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0
060,2022060000632,248325823,1,BAY 47 ST&&STILLWELL AVE,BAY 47 ST,STILLWELL AVE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
060,2022060000596,248207854,1,BAY 50 ST&&CROPSEY AVE,CROPSEY AVE,BAY 50 ST,2,1,0,2,1,0,0,0,1,0,0,0,0,0,1,0
060,2022060000584,247838961,1,BAY VIEW AVE&&NEPTUNE AVE,NEPTUNE AVE,BAY VIEW AVE,2,1,0,2,1,0,0,0,1,0,0,0,0,0,1,0
060,2022060000630,248267648,1,BAY VIEW AVE&&W 35 ST,BAY VIEW AVE,W 35 ST,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
060,2022060000557,247602214,1,BAY VIEW AVE&&W 37 ST,BAY VIEW AVE,W 37 ST,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
060,2022060000607,248267645,1,BELT PARKWAY&&NYCTA SUBWAY,NYCTA SUBWAY,BELT PARKWAY,2,1,0,2,1,0,0,0,1,0,0,0,0,0,1,0
060,2022060000554,247564630,1,BELT PARKWAY&&OCEAN PARKWAY,OCEAN PARKWAY,BELT PARKWAY,2,1,0,2,1,0,0,0,1,0,0,0,0,0,1,0
060,2022060000610,248325820,2,BELT PARKWAY&&OCEAN PARKWAY,OCEAN PARKWAY,BELT PARKWAY,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
060,2022060000675,248838236,3,BELT PARKWAY&&OCEAN PARKWAY,OCEAN PARKWAY,BELT PARKWAY,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
060,2022060000652,248838224,1,BRIGHTON 10 LN&&CONEY ISLAND AVE,CONEY ISLAND AVE,BRIGHTON 10 LN,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
060,2022060000601,248280125,1,BRIGHTON 10 ST&&OCEAN VIEW AVE,OCEAN VIEW AVE,BRIGHTON 10 ST,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
060,2022060000622,248207859,1,BRIGHTON 10 TER&&CONEY ISLAND AVE,BRIGHTON 10 TER,CONEY ISLAND AVE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
060,2022060000658,248838227,2,BRIGHTON 10 TER&&CONEY ISLAND AVE,BRIGHTON 10 TER,CONEY ISLAND AVE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
060,2022060000595,247967344,1,BRIGHTON 13 ST&&OCEAN VIEW AVE,BRIGHTON 13 ST,OCEAN VIEW AVE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
060,2022060000556,247838595,1,BRIGHTON 14 ST&&BRIGHTON BEACH AVE,BRIGHTON 14 ST,BRIGHTON BEACH AVE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
060,2022060000640,248470373,1,BRIGHTON 3 ST&&BRIGHTWATER CT,BRIGHTON 3 ST,BRIGHTWATER CT,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
060,2022060000574,247668602,1,BRIGHTON 4 ST&&NEPTUNE AVE,NEPTUNE AVE,BRIGHTON 4 ST,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
060,2022060000646,248470376,1,BRIGHTON 4 ST&&OCEAN VIEW AVE,OCEAN VIEW AVE,BRIGHTON 4 ST,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
060,2022060000671,248838232,1,BRIGHTON 5 ST&&BRIGHTON BEACH AVE,BRIGHTON BEACH AVE,BRIGHTON 5 ST,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0
060,2022060000656,248838225,1,BRIGHTON 5 ST&&NEPTUNE AVE,NEPTUNE AVE,BRIGHTON 5 ST,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
060,2022060000564,247628285,1,BRIGHTON 6 ST&&BRIGHTON BEACH AVE,BRIGHTON 6 ST,BRIGHTON BEACH AVE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
060,2022060000626,248838221,1,BRIGHTON 7 ST&&NEPTUNE AVE,NEPTUNE AVE,BRIGHTON 7 ST,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0
060,2022060000629,248325821,1,BRIGHTON BEACH AVE&&CONEY ISLAND AVE,CONEY ISLAND AVE,BRIGHTON BEACH AVE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
060,2022060000665,248838228,2,BRIGHTON BEACH AVE&&CONEY ISLAND AVE,BRIGHTON BEACH AVE,CONEY ISLAND AVE,2,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0
060,2022060000573,247628291,1,BRIGHTON BEACH AVE&&CORBIN PL,BRIGHTON BEACH AVE,CORBIN PL,2,1,0,2,1,0,0,0,1,0,0,0,0,0,1,0
060,2022060000562,247628284,1,CONEY ISLAND AVE&&NEPTUNE AVE,NEPTUNE AVE,CONEY ISLAND AVE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
060,2022060000631,248325822,2,CONEY ISLAND AVE&&NEPTUNE AVE,NEPTUNE AVE,CONEY ISLAND AVE,2,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0
060,2022060000560,247628282,1,CROPSEY AVE&&HART PL,CROPSEY AVE,HART PL,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0
060,2022060000633,248325824,2,CROPSEY AVE&&HART PL,CROPSEY AVE,HART PL,2,1,0,2,1,0,0,0,1,0,0,0,0,0,1,0
060,2022060000559,247628281,1,CROPSEY AVE&&SHORE PKWY,CROPSEY AVE,SHORE PKWY,2,2,0,2,2,0,1,0,1,0,0,0,0,0,1,0
060,2022060000618,248207855,2,CROPSEY AVE&&SHORE PKWY,SHORE PKWY,CROPSEY AVE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
060,2022060000655,249169469,3,CROPSEY AVE&&SHORE PKWY,SHORE PKWY,CROPSEY AVE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
060,2022060000669,248838231,1,E 12 ST&&NEPTUNE AVE,NEPTUNE AVE,E 12 ST,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
060,2022060000672,248838233,1,E 6 ST&&SHORE PKWY,SHORE PKWY,E 6 ST,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
060,2022060000608,248158269,1,MERMAID AVE&&STILLWELL AVE,STILLWELL AVE,MERMAID AVE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
060,2022060000627,248207862,2,MERMAID AVE&&STILLWELL AVE,STILLWELL AVE,MERMAID AVE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
060,2022060000602,248280126,3,MERMAID AVE&&STILLWELL AVE,STILLWELL AVE,MERMAID AVE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
