OccurrencePrecinctCode,GeoCodeLabel,Borough,Number_of_Motor_Vehicle_Collisions,Vehicles_or_Motorists_Involved,Injury_or_Fatal_Collisions,MotoristsInjured,MotoristsKilled,PassengInjured,PassengKilled,CyclistsInjured,CyclistsKilled,PedestrInjured,PedestrKilled,Bicycle
001,1st Precinct,MANHATTAN,89.0,154.0,18.0,3.0,0.0,5.0,0.0,5.0,0.0,6.0,0.0,14.0
005,5th Precinct,MANHATTAN,63.0,109.0,21.0,11.0,0.0,6.0,0.0,5.0,0.0,3.0,0.0,7.0
006,6th Precinct,MANHATTAN,36.0,59.0,9.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,7.0
007,7th Precinct,MANHATTAN,65.0,111.0,21.0,4.0,0.0,6.0,0.0,6.0,0.0,6.0,0.0,7.0
009,9th Precinct,MANHATTAN,54.0,88.0,27.0,6.0,0.0,7.0,0.0,9.0,0.0,8.0,1.0,10.0
010,10th Precinct,MANHATTAN,62.0,108.0,12.0,6.0,0.0,1.0,0.0,6.0,0.0,1.0,0.0,10.0
013,13th Precinct,MANHATTAN,76.0,124.0,41.0,13.0,0.0,18.0,0.0,11.0,0.0,12.0,0.0,17.0
014,Midtown South Precinct,MANHATTAN,69.0,110.0,24.0,5.0,0.0,5.0,0.0,7.0,0.0,9.0,0.0,16.0
017,17th Precinct,MANHATTAN,71.0,121.0,35.0,12.0,0.0,16.0,0.0,10.0,0.0,8.0,0.0,11.0
018,Midtown North Precinct,MANHATTAN,67.0,109.0,35.0,10.0,0.0,10.0,0.0,13.0,0.0,8.0,0.0,16.0
019,19th Precinct,MANHATTAN,111.0,204.0,45.0,23.0,0.0,14.0,0.0,5.0,1.0,8.0,0.0,9.0
020,20th Precinct,MANHATTAN,56.0,93.0,19.0,3.0,0.0,3.0,0.0,9.0,0.0,5.0,0.0,11.0
022,Central Park Precinct,MANHATTAN,11.0,17.0,6.0,2.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,2.0
023,23rd Precinct,MANHATTAN,57.0,107.0,21.0,6.0,0.0,7.0,0.0,5.0,0.0,7.0,0.0,8.0
024,24th Precinct,MANHATTAN,46.0,104.0,17.0,8.0,0.0,10.0,0.0,5.0,0.0,0.0,0.0,6.0
025,25th Precinct,MANHATTAN,117.0,231.0,52.0,37.0,0.0,32.0,0.0,7.0,0.0,7.0,0.0,7.0
026,26th Precinct,MANHATTAN,51.0,100.0,19.0,17.0,0.0,15.0,0.0,2.0,0.0,1.0,0.0,3.0
028,28th Precinct,MANHATTAN,48.0,84.0,24.0,6.0,1.0,9.0,0.0,7.0,0.0,6.0,0.0,8.0
030,30th Precinct,MANHATTAN,56.0,104.0,22.0,7.0,0.0,4.0,0.0,11.0,0.0,5.0,0.0,12.0
032,32nd Precinct,MANHATTAN,66.0,140.0,24.0,16.0,0.0,8.0,0.0,5.0,0.0,4.0,0.0,8.0
033,33rd Precinct,MANHATTAN,69.0,139.0,25.0,13.0,0.0,10.0,0.0,5.0,0.0,5.0,0.0,6.0
034,34th Precinct,MANHATTAN,79.0,149.0,27.0,8.0,0.0,15.0,0.0,4.0,0.0,9.0,0.0,5.0
040,40th Precinct,BRONX,117.0,227.0,45.0,24.0,2.0,19.0,0.0,5.0,0.0,8.0,0.0,6.0
041,41st Precinct,BRONX,102.0,187.0,40.0,14.0,0.0,25.0,0.0,5.0,0.0,11.0,1.0,5.0
042,42nd Precinct,BRONX,87.0,166.0,33.0,16.0,0.0,12.0,0.0,6.0,0.0,6.0,0.0,9.0
043,43rd Precinct,BRONX,174.0,360.0,67.0,38.0,1.0,46.0,1.0,7.0,1.0,9.0,0.0,10.0
044,44th Precinct,BRONX,151.0,290.0,54.0,31.0,0.0,24.0,0.0,5.0,0.0,13.0,0.0,7.0
045,45th Precinct,BRONX,161.0,311.0,63.0,41.0,0.0,92.0,0.0,2.0,0.0,9.0,0.0,2.0
046,46th Precinct,BRONX,111.0,219.0,44.0,27.0,0.0,20.0,0.0,6.0,0.0,11.0,0.0,6.0
047,47th Precinct,BRONX,169.0,347.0,80.0,62.0,0.0,35.0,0.0,8.0,0.0,12.0,0.0,9.0
048,48th Precinct,BRONX,110.0,217.0,54.0,29.0,2.0,24.0,0.0,9.0,0.0,6.0,1.0,11.0
049,49th Precinct,BRONX,122.0,235.0,53.0,27.0,0.0,17.0,0.0,9.0,1.0,6.0,0.0,10.0
050,50th Precinct,BRONX,79.0,146.0,28.0,19.0,0.0,12.0,0.0,3.0,0.0,5.0,2.0,4.0
052,52nd Precinct,BRONX,134.0,268.0,57.0,39.0,0.0,25.0,0.0,6.0,0.0,12.0,0.0,6.0
