OccurrencePrecinctCode,CollisionID,CollisionKey,RoadwayTypeCode,RoadwayReferenceMarker,Collision_ at_Location,RoadwayName,RoadwayDirection,RoadwayLocationDescription,CollisionVehicleCount,CollisionInjuredCount,CollisionKilledCount,Vehicles_or_MotoristsInvolved,PersonsInjured,PersonsKilled,MotoristsInjured,MotoristsKilled,PassengInjured,PassengKilled,CyclistsInjured,CyclistsKilled,PedestrInjured,PedestrKilled,Injury_or_Fatal,Bicycle
001,2022001000566,248093170,T,BBT 07003001,1,BBT E TUBE,EB@,MANH SIDE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
001,2022001000622,248894440,T,BBT 07003001,2,BBT E TUBE,EB@,MANH SIDE,2,2,0,2,2,0,1,0,1,0,0,0,0,0,1,0
001,2022001000547,248062422,H,907LX4M11012,1,F.D.R. DR,NB@,BKLYN BR/CIVIC CTR,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
005,2022005000465,249078968,H,907LX4M11014,1,F.D.R. DR,NB@,RF WAGNER PL,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
005,2022005000426,247953176,H,907LX4M12015,1,F.D.R. DR,SB@,.1 N/O BKLYN BR EX,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
005,2022005000438,248864562,H,907LX4M12014,1,F.D.R. DR,SB@,BKLYN BR/CIVIC CTR,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0
005,2022005000429,247992096,H,907LX4M12016,1,F.D.R. DR,SB@,CATHERINE SLIP,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
005,2022005000443,248509460,B,MANB03003001,1,MANH BR LOWER,EB@,MANH SIDE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
005,2022005000454,248509467,B,MANB03003001,2,MANH BR LOWER,EB@,MANH SIDE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
005,2022005000464,249038088,B,MANB03004001,1,MANH BR LOWER,WB@,MANH SIDE,2,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0
005,2022005000417,247967333,B,MANB02003001,1,MANH BR UPPER,EB@,MANH SIDE,2,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0
005,2022005000432,248065529,B,MANB02003001,2,MANH BR UPPER,EB@,MANH SIDE,2,2,0,2,2,0,1,0,1,0,0,0,0,0,1,0
007,2022007000384,248177938,H,907LX4MR04A1,1,F.D.R. DR,NB@,ENR MONTGOMERY ST,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
007,2022007000403,248531868,H,907LX4M12030,1,F.D.R. DR,SB@,E HOUSTON ST,2,1,0,2,1,0,0,0,1,0,0,0,0,0,1,0
007,2022007000382,248177936,B,WBB 05003001,1,WILMSBRG BR INNER,EB@,MANH SIDE,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
007,2022007000374,248177933,B,WBB 05004001,1,WILMSBRG BR INNER,WB@,MANH SIDE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
