OccurrencePrecinctCode,CollisionID,CollisionKey,RoadwayTypeCode,RoadwayReferenceMarker,Collision_ at_Location,RoadwayName,RoadwayDirection,RoadwayLocationDescription,CollisionVehicleCount,CollisionInjuredCount,CollisionKilledCount,Vehicles_or_MotoristsInvolved,PersonsInjured,PersonsKilled,MotoristsInjured,MotoristsKilled,PassengInjured,PassengKilled,CyclistsInjured,CyclistsKilled,PedestrInjured,PedestrKilled,Injury_or_Fatal,Bicycle
102,2022102000886,248824132,H,908BX5M23036,1,JACKIE ROBINSON PKY,EB@,.1 W/O METROPOLITAN,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
102,2022102000832,247908293,H,908BX5M23035,1,JACKIE ROBINSON PKY,EB@,.2 W/O METROPOLITAN,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
102,2022102000890,248676924,H,908BX5M23039,1,JACKIE ROBINSON PKY,EB@,UNION TURNPIKE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
102,2022102000818,247852987,H,908BX5M23046,1,JACKIE ROBINSON PKY,EB@,VAN WYCK EXP,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
102,2022102000871,248509604,H,908BX5M23046,2,JACKIE ROBINSON PKY,EB@,VAN WYCK EXP,2,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0
102,2022102000839,248390238,H,908BX5M24029,1,JACKIE ROBINSON PKY,WB@,.1 E/O WOODHAVEN BL,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
102,2022102000849,248178059,H,908BX5M24036,1,JACKIE ROBINSON PKY,WB@,.1 W/O METROPOLITAN,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
102,2022102000835,247955857,H,908BX5M24034,1,JACKIE ROBINSON PKY,WB@,.3 W/O METROPOLITAN,2,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0
102,2022102000829,248071676,H,908BX5M24037,1,JACKIE ROBINSON PKY,WB@,METROPOLITAN AV,5,2,0,5,2,0,2,0,0,0,0,0,0,0,1,0
102,2022102000851,248178061,H,908BX5M24043,1,JACKIE ROBINSON PKY,WB@,QUEENS BL,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
102,2022102000878,248509610,H,678IX5M12023,1,VAN WYCK EXP,SB@,101 AV,3,2,0,3,2,0,1,0,1,0,0,0,0,0,1,0
102,2022102000795,247551970,H,678IX5M12025,1,VAN WYCK EXP,SB@,95 AV,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
102,2022102000834,247955856,H,678IX5M12025,2,VAN WYCK EXP,SB@,95 AV,5,3,0,5,3,0,2,0,1,0,0,0,0,0,1,0
102,2022102000866,248384497,H,678IX5M12024,1,VAN WYCK EXP,SB@,97 AV,2,3,0,2,3,0,1,0,2,0,0,0,0,0,1,0
102,2022102000797,247587649,H,678IX5M12031,1,VAN WYCK EXP,SB@,HILLSIDE AV,3,5,0,3,5,0,2,0,3,0,0,0,0,0,1,0
102,2022102000811,247734871,H,678IX5M12031,2,VAN WYCK EXP,SB@,HILLSIDE AV,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
102,2022102000828,247898151,H,678IX5M12031,3,VAN WYCK EXP,SB@,HILLSIDE AV,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
102,2022102000864,248327060,H,678IX5M12031,4,VAN WYCK EXP,SB@,HILLSIDE AV,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
102,2022102000896,248738780,H,678IX5M12031,5,VAN WYCK EXP,SB@,HILLSIDE AV,2,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0
102,2022102000859,248272289,H,678IX5M12030,1,VAN WYCK EXP,SB@,JAMAICA AV,2,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0
102,2022102000884,248824131,H,678IX5M12030,2,VAN WYCK EXP,SB@,JAMAICA AV,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
102,2022102000840,248178053,H,678IX5M12035,1,VAN WYCK EXP,SB@,QUEENS BL,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
103,2022103000873,247837351,H,678IX5M11026,1,VAN WYCK EXP,NB@,ATLANTIC AV,2,1,0,2,1,0,0,0,1,0,0,0,0,0,1,0
103,2022103000896,248158294,H,678IX5M11030,1,VAN WYCK EXP,NB@,JAMAICA AV,2,2,0,2,2,0,1,0,1,0,0,0,0,0,1,0
103,2022103000906,248160090,H,678IX5M11022,1,VAN WYCK EXP,NB@,LIBERTY AV,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
104,2022104001073,247830538,H,908BX5M23011,1,JACKIE ROBINSON PKY,EB@,.1 E/O CYPRESS HILL,2,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0
104,2022104001160,248757979,H,908BX5M23017,1,JACKIE ROBINSON PKY,EB@,.2 W/O FOREST PK DR,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
104,2022104001124,248432577,H,908BX5M24020,1,JACKIE ROBINSON PKY,WB@,.1 E/O FOREST PK DR,2,2,0,2,2,0,0,0,2,0,0,0,0,0,1,0
104,2022104001163,248835330,H,908BX5M24020,2,JACKIE ROBINSON PKY,WB@,.1 E/O FOREST PK DR,2,3,0,2,3,0,1,0,2,0,0,0,0,0,1,0
104,2022104001144,248695728,H,908BX5M24018,1,JACKIE ROBINSON PKY,WB@,.1 W/O FOREST PK DR,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0
104,2022104001161,248835329,H,908BX5M24017,1,JACKIE ROBINSON PKY,WB@,.2 W/O FOREST PK DR,2,1,0,2,1,0,0,0,1,0,0,0,0,0,1,0
104,2022104001069,247830537,H,908BX5M24022,1,JACKIE ROBINSON PKY,WB@,.3 E/O FOREST PK DR,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
