OccurrencePrecinctCode,CollisionID,CollisionKey,Collision_ at_Intersection,IntersectionAddress,IntersectingStreet,CrossStreet,CollisionVehicleCount,CollisionInjuredCount,CollisionKilledCount,Vehicles_or_MotoristsInvolved,PersonsInjured,PersonsKilled,MotoristsInjured,MotoristsKilled,PassengInjured,PassengKilled,CyclistsInjured,CyclistsKilled,PedestrInjured,PedestrKilled,Injury_or_Fatal,Bicycle
100,2022100000235,248118613,1,AMSTEL BLVD&&BEACH 74 ST,BEACH 74 ST,AMSTEL BLVD,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
100,2022100000228,247614644,1,BEACH 114 ST&&ROCKAWAY BEACH BLVD,ROCKAWAY BEACH BLVD,BEACH 114 ST,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0
100,2022100000246,248553512,1,BEACH 67 ST&&BEACH CHANNEL DR,BEACH CHANNEL DR,BEACH 67 ST,2,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0
100,2022100000251,248864633,1,BEACH 69 ST&&BEACH FRONT RD,BEACH FRONT RD,BEACH 69 ST,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
100,2022100000224,247955855,1,BEACH 69 ST&&CORAL REEF WAY,BEACH 69 ST,CORAL REEF WAY,2,2,0,2,2,0,1,0,1,0,0,0,0,0,1,0
100,2022100000223,247551961,1,BEACH 81 ST&&ROCKAWAY BEACH BLVD,BEACH 81 ST,ROCKAWAY BEACH BLVD,2,2,0,2,2,0,1,0,1,0,0,0,0,0,1,0
100,2022100000226,247567157,2,BEACH 81 ST&&ROCKAWAY BEACH BLVD,ROCKAWAY BEACH BLVD,BEACH 81 ST,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
100,2022100000220,247628298,1,BEACH 86 ST&&ROCKAWAY FWY,BEACH 86 ST,ROCKAWAY FWY,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
100,2022100000240,248509598,1,BEACH 90 ST&&HOLLAND AVE,BEACH 90 ST,HOLLAND AVE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
100,2022100000252,249210671,1,BEACH 91 ST&&BEACH CHANNEL DR,BEACH CHANNEL DR,BEACH 91 ST,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
100,2022100000241,248509599,1,BEACH 96 ST&&SHORE FRONT PKWY,SHORE FRONT PKWY,BEACH 96 ST,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
100,2022100000238,248509597,1,BEACH CHANNEL DRIVE&&RIIS PARK,BEACH CHANNEL DRIVE,RIIS PARK,2,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0
100,2022100000243,249046527,1,CROSS BAY BLVD&&W 10 RD,CROSS BAY BLVD,W 10 RD,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
100,2022100000236,248750221,1,CROSS BAY BLVD&&W 20 RD,W 20 RD,CROSS BAY BLVD,2,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0
100,2022100000225,247556656,1,CROSS BAY BLVD&&W 6 RD,CROSS BAY BLVD,W 6 RD,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
100,2022100000233,248118612,1,CROSS BAY BOULEVARD&&NORTH CHANNEL BRIDGE,CROSS BAY BOULEVARD,NORTH CHANNEL BRIDGE,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
100,2022100000244,248509600,2,CROSS BAY BOULEVARD&&NORTH CHANNEL BRIDGE,NORTH CHANNEL BRIDGE,CROSS BAY BOULEVARD,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
100,2022100000234,248568613,3,CROSS BAY BOULEVARD&&NORTH CHANNEL BRIDGE,NORTH CHANNEL BRIDGE,CROSS BAY BOULEVARD,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
100,2022100000229,247892668,1,CROSS BAY BOULEVARD&&ROCKAWAY FREEWAY,ROCKAWAY FREEWAY,CROSS BAY BOULEVARD,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
100,2022100000239,248196320,1,CROSS BAY PKWY&&ROCKAWAY FWY,CROSS BAY PKWY,ROCKAWAY FWY,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0
101,2022101000379,248207866,1,ALMEDA AVE&&BEACH 54 ST,BEACH 54 ST,ALMEDA AVE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
101,2022101000393,248606992,1,ARVERNE BLVD&&BEACH 59 ST,BEACH 59 ST,ARVERNE BLVD,2,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0
101,2022101000407,249196492,1,BAY 32 ST&&BEACH CHANNEL DR,BAY 32 ST,BEACH CHANNEL DR,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
101,2022101000411,249210676,2,BAY 32 ST&&BEACH CHANNEL DR,BEACH CHANNEL DR,BAY 32 ST,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
101,2022101000367,248028705,1,BEACH 14 ST&&NEW HAVEN AVE,NEW HAVEN AVE,BEACH 14 ST,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
101,2022101000405,249195604,1,BEACH 17 ST&&SEAGIRT BLVD,SEAGIRT BLVD,BEACH 17 ST,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
101,2022101000394,248606993,1,BEACH 17 STREET&&SEAGRIT BOULEVARD,BEACH 17 STREET,SEAGRIT BOULEVARD,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
101,2022101000375,248161917,1,BEACH 19 ST&&SEAGIRT BLVD,SEAGIRT BLVD,BEACH 19 ST,3,1,0,3,1,0,0,0,1,0,0,0,0,0,1,0
101,2022101000362,247947408,1,BEACH 20 ST&&BROOKHAVEN AVE,BEACH 20 ST,BROOKHAVEN AVE,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0
101,2022101000386,248493895,1,BEACH 20 ST&&ELK DR,BEACH 20 ST,ELK DR,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0
101,2022101000376,248161918,1,BEACH 20 ST&&MOTT AVE,MOTT AVE,BEACH 20 ST,2,2,0,2,2,0,1,0,1,0,0,0,0,0,1,0
101,2022101000361,247852977,1,BEACH 20 ST&&NEW HAVEN AVE,NEW HAVEN AVE,BEACH 20 ST,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
101,2022101000352,247527008,1,BEACH 26 ST&&SEAGIRT BLVD,SEAGIRT BLVD,BEACH 26 ST,2,2,0,2,2,0,1,0,1,0,0,0,0,0,1,0
101,2022101000389,248494951,1,BEACH 27 ST&&SEAGIRT BLVD,SEAGIRT BLVD,BEACH 27 ST,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
101,2022101000385,248493894,1,BEACH 33 ST&&SPRAYVIEW AVE,BEACH 33 ST,SPRAYVIEW AVE,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
101,2022101000408,249196493,1,BEACH 38 ST&&BEACH CHANNEL DR,BEACH 38 ST,BEACH CHANNEL DR,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
101,2022101000356,247669983,1,BEACH 40 ST&&BEACH CHANNEL DR,BEACH CHANNEL DR,BEACH 40 ST,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
101,2022101000374,248161916,1,BEACH 42 ST&&BEACH CHANNEL DR,BEACH 42 ST,BEACH CHANNEL DR,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
101,2022101000358,247669985,1,BEACH 43 ST&&BEACH CHANNEL DR,BEACH CHANNEL DR,BEACH 43 ST,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
101,2022101000355,247669982,1,BEACH 44 ST&&ROCKAWAY FWY,ROCKAWAY FWY,BEACH 44 ST,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
101,2022101000378,248150895,1,BEACH 45 ST&&BEACH CHANNEL DR,BEACH CHANNEL DR,BEACH 45 ST,3,2,1,3,2,1,2,1,0,0,0,0,0,0,1,0
101,2022101000369,248028707,1,BEACH 51 ST&&BEACH CHANNEL DR,BEACH 51 ST,BEACH CHANNEL DR,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0
101,2022101000392,248494953,1,BEACH 54 ST&&ROCKAWAY BEACH BLVD,ROCKAWAY BEACH BLVD,BEACH 54 ST,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
101,2022101000353,247669980,1,BEACH 56 PLACE&&BOARDWALK,BEACH 56 PLACE,BOARDWALK,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
