OccurrencePrecinctCode,CollisionID,CollisionKey,Collision_ at_Intersection,IntersectionAddress,IntersectingStreet,CrossStreet,CollisionVehicleCount,CollisionInjuredCount,CollisionKilledCount,Vehicles_or_MotoristsInvolved,PersonsInjured,PersonsKilled,MotoristsInjured,MotoristsKilled,PassengInjured,PassengKilled,CyclistsInjured,CyclistsKilled,PedestrInjured,PedestrKilled,Injury_or_Fatal,Bicycle
120,2022120000755,248473884,1,ARCADIA PL&&RAYMOND PL,ARCADIA PL,RAYMOND PL,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
120,2022120000690,247828262,1,BARD AVE&&CASTLETON AVE,BARD AVE,CASTLETON AVE,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
120,2022120000761,248619656,1,BARD AVE&&CLOVE RD,BARD AVE,CLOVE RD,2,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0
120,2022120000686,247828259,1,BARD AVE&&S ST AUSTINS PL,BARD AVE,S ST AUSTINS PL,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
120,2022120000713,248224766,1,BAY ST&&CLIFTON AVE,CLIFTON AVE,BAY ST,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
120,2022120000754,248509634,1,BAY ST&&CLINTON ST,BAY ST,CLINTON ST,2,2,0,2,2,0,0,0,1,0,0,0,1,0,1,0
120,2022120000767,248656612,1,BAY ST&&HANNAH ST,BAY ST,HANNAH ST,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
120,2022120000760,248531870,1,BAY ST&&HYLAN BLVD,HYLAN BLVD,BAY ST,2,3,0,2,3,0,2,0,1,0,0,0,0,0,1,0
120,2022120000778,248831644,2,BAY ST&&HYLAN BLVD,HYLAN BLVD,BAY ST,2,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0
120,2022120000669,247674671,1,BAY ST&&NEW LN,BAY ST,NEW LN,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
120,2022120000687,247881171,1,BAY ST&&SCARBORO AVE,SCARBORO AVE,BAY ST,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
120,2022120000723,248224770,1,BAY ST&&ST JULIAN PL,BAY ST,ST JULIAN PL,2,1,0,2,1,0,1,0,0,0,0,0,0,0,1,0
120,2022120000679,247943368,1,BAY ST&&THOMPSON ST,THOMPSON ST,BAY ST,2,4,0,2,4,0,1,0,3,0,0,0,0,0,1,0
120,2022120000699,247943371,1,BAY ST&&UNION PL,BAY ST,UNION PL,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
120,2022120000663,247674669,1,BAY ST&&VICTORY BLVD,BAY ST,VICTORY BLVD,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
